window_size,idle_thresh,swipe_left_thresh,swipe_right_thresh,rotate_thresh,score
6,0.7,0.6,0.6,0.6,98.29787234042553
6,0.8,0.6,0.6,0.6,98.29787234042553
6,0.9,0.6,0.6,0.6,99.25531914893618
6,1.0,0.6,0.6,0.6,99.25531914893618
8,0.7,0.4,0.4,0.7,103.19148936170211
8,0.8,0.4,0.4,0.7,103.72340425531914
8,0.9,0.4,0.4,0.7,104.04255319148936
8,1.0,0.4,0.4,0.7,104.04255319148936
10,0.7,0.4,0.5,0.7,105.53191489361703
10,0.8,0.4,0.5,0.7,105.10638297872342
10,0.9,0.4,0.5,0.7,105.10638297872342
10,1.0,0.4,0.5,0.7,105.2127659574468
12,0.7,0.4,0.4,0.6,104.78723404255321
12,0.8,0.4,0.4,0.6,104.78723404255321
12,0.9,0.4,0.4,0.6,104.78723404255321
12,1.0,0.3,0.4,0.6,105.2127659574468
14,0.7,0.3,0.3,0.5,103.93617021276597
14,0.8,0.3,0.3,0.5,104.04255319148936
14,0.9,0.3,0.3,0.5,104.04255319148936
14,1.0,0.3,0.3,0.5,100.85106382978724
16,0.7,0.3,0.3,0.4,103.72340425531915
16,0.8,0.3,0.3,0.4,103.82978723404256
16,0.9,0.3,0.3,0.4,103.29787234042553
16,1.0,0.3,0.3,0.4,98.19148936170214
18,0.7,0.2,0.2,0.5,97.9787234042554
18,0.8,0.2,0.2,0.5,103.40425531914893
18,0.9,0.2,0.2,0.5,100.31914893617022
18,1.0,0.2,0.2,0.5,96.06382978723404
20,0.7,0.2,0.2,0.4,87.44680851063825
20,0.8,0.2,0.2,0.4,102.2340425531915
20,0.9,0.2,0.2,0.4,99.46808510638299
20,1.0,0.2,0.2,0.4,90.85106382978722
22,0.7,0.2,0.2,0.4,89.36170212765957
22,0.8,0.2,0.2,0.4,102.12765957446808
22,0.9,0.2,0.2,0.4,95.1063829787234
22,1.0,0.2,0.2,0.4,88.0851063829787
24,0.7,0.2,0.2,0.3,78.29787234042546
24,0.8,0.2,0.2,0.3,98.19148936170211
24,0.9,0.2,0.2,0.3,89.89361702127658
24,1.0,0.2,0.2,0.3,82.23404255319147
26,0.7,0.2,0.2,0.3,73.40425531914886
26,0.8,0.2,0.2,0.3,83.7234042553191
26,0.9,0.2,0.2,0.3,78.61702127659571
26,1.0,0.2,0.2,0.4,70.42553191489357
28,0.7,0.2,0.2,0.3,72.76595744680844
28,0.8,0.2,0.2,0.3,81.91489361702124
28,0.9,0.2,0.2,0.3,75.53191489361699
28,1.0,0.2,0.2,0.4,64.68085106382972
