n_layers,learning_rates,n_epochs,losses,n_neurons,activations,Score,Accuracy,F1,Precision,Recall,train_accuracy,train_loss
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('sigmoid', 'tanh', 'relu', 'softmax')",97.34042553191492,0.8523668414254236,0.766838722954619,0.8378740567880809,0.7188436819849734,0.9429045799589638,0.1510796689128395
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('sigmoid', 'tanh', 'sigmoid', 'softmax')",97.65957446808513,0.8554061241546995,0.7717401457669353,0.8524379178440024,0.7213470258894101,0.944731633400277,0.1473657837747758
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'relu', 'relu', 'softmax')",99.57446808510645,0.8548742496770763,0.7621397101966808,0.8452747477053116,0.7094663004329136,0.9491397623380484,0.13393256574459
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('sigmoid', 'tanh', 'tanh', 'softmax')",97.02127659574474,0.8531266621077426,0.7740140284305297,0.8370103202303657,0.7302117293769552,0.9412515316072996,0.15625393408604
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'relu', 'sigmoid', 'softmax')",99.36170212765956,0.8630803130461211,0.7836075108984046,0.85415764878853,0.734151125944977,0.9517063374103693,0.1242404335449688
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'relu', 'tanh', 'softmax')",98.40425531914896,0.8665754881847884,0.7903648824793525,0.8395038436882476,0.7549797322199611,0.9498140320604378,0.1332372796964636
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'sigmoid', 'relu', 'softmax')",93.19148936170212,0.8551021958817719,0.768498993340706,0.8713243661147667,0.7050758780039,0.9469429480812314,0.1408690965383332
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'sigmoid', 'sigmoid', 'softmax')",100.21276595744682,0.85502621381354,0.7724197155226267,0.8359837858731234,0.7280042690944016,0.9460946732691932,0.1440187790774793
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'sigmoid', 'tanh', 'softmax')",99.7872340425532,0.8651318288883824,0.7871376601657604,0.8348240257872768,0.7506428430807114,0.9459061677554068,0.1427152986557764
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'tanh', 'relu', 'softmax')",92.55319148936174,0.8546463034723805,0.764692497215268,0.8609265556768465,0.7046667157837276,0.9464716842967656,0.1435198428580087
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'tanh', 'sigmoid', 'softmax')",96.27659574468088,0.8551781779500038,0.7740645630436107,0.8499548104452164,0.722595287850811,0.9499590363018118,0.1296241619372157
4,0.01,20,crossentropy,"(27, 64, 128, 32, 4)","('tanh', 'tanh', 'tanh', 'softmax')",93.08510638297876,0.8565458551781779,0.7664010122337235,0.8705656836295205,0.7054758439639366,0.9449926410347502,0.1455979089664023
